Item Name,Average Unit Cost,Department Name
GUT12 TRIPODS U/J,6,TRIPODS
GUT21 TRIPODS U/J,2.63,TRIPODS
GU-207 TRIPODS U/J,2.3,TRIPODS
UJ500 TRIPODS U/J,4,TRIPODS
04371-OK080 U/J TRIPODS,2.9,TRIPODS
TO 67 30TH TRIPODS,3,TRIPODS
H8211 LINKS,2,STABILIZER LINKS
H8084,2,STABILIZER LINKS
CLHO25/26LINKS,3,STABILIZER LINKS
CLHO10/11LINKS,3,STABILIZER LINKS
CLHO 58/9,2.65914,STABILIZER LINKS
CLHO 2LINKS,2.3,STABILIZER LINKS
CLN 54LINKS,2.47,STABILIZER LINKS
CLN 22 / 23 / 54668-8H300,2.63,STABILIZER LINKS
CET151/2 TIE ROD ENDS,5.68,TIE ROD ENDS
CET90/1TIE ROD ENDS,5.42,TIE ROD ENDS
CET 176/7 / 45046/7-29335/115,7.58,TIE ROD ENDS
CET59 TIE ROD ENDS,4.2,TIE ROD ENDS
CET 115 TIE ROD ENDS,7.17,TIE ROD ENDS
CET 121/2TIE ROD ENDS,7.52,TIE ROD ENDS
CET 84TIE ROD ENDS,4.26,TIE ROD ENDS
CET114 TIE ROD ENDS,4.85,TIE ROD ENDS
LOOSE (SETS)TIE ROD ENDS,5,TIE ROD ENDS
LOOSE (UNITS)TIE ROD ENDS,5,TIE ROD ENDS
CEHO 13TIE ROD ENDS,4.97,TIE ROD ENDS
CEMZ 60 TIE ROD ENDS,7.32,TIE ROD ENDS
CEMZ 10 TIE ROD ENDS,6,TIE ROD ENDS
CEMZ 45/46TIE ROD ENDS,7.28,TIE ROD ENDS
CEMZ 28 TIE ROD ENDS,5.65,TIE ROD ENDS
CEMZ 67 TIE  ROD ENDS,9.3,TIE ROD ENDS
CEIS 22/23 TIE ROD ENDS,6,TIE ROD ENDS
CED6TIE ROD ENDS,8,TIE ROD ENDS
CEHO17/8 TIE ROD ENDS,5.8,TIE ROD ENDS
CLT 53 LINKS,1.73,STABILIZER LINKS
48820-26010 LINKS,2,STABILIZER LINKS
CLT 13 Links,2,STABILIZER LINKS
CLT 7LINKS,3,STABILIZER LINKS
CLT 2 LINKS,1.844,STABILIZER LINKS
CLT 32 LINKS,3,STABILIZER LINKS
CLT 11 LINKS,3,STABILIZER LINKS
CLT42 LINKS,2.3,STABILIZER LINKS
CLT69 LINKS,2.47,STABILIZER LINKS
CLT 50 LINKS,3.33,STABILIZER LINKS
CLT 41,2.3,STABILIZER LINKS
UC2M-16-460CLUTCH PLATE,16.42857,CLUTCH PLATE
DZ19 CLUTCH PLATE,14.46,CLUTCH PLATE
DZ004 CLUTCH PLATE,10.06,CLUTCH PLATE
WLA2-16-460 CLUTCH PLATE,12.49,CLUTCH PLATE
DZ30 CLUTCH PLATES,8.25,CLUTCH PLATE
DN57 CLUTCH PLATE,8.11,CLUTCH PLATE
DN19 CLUTCH PLATE,13.51,CLUTCH PLATE
DN26 CLUTCH PLATE,6.51,CLUTCH PLATE
DN73 CLUTCH PLATE,8.6,CLUTCH PLATE
GWT 78A WATER PUMP,6.75,WATER PUMP
GWH061A WATER PUMP,7.88,WATER PUMP
GWT77A WATER PUMP,7.8,WATER PUMP
GWT101A WATER PUMP,6.05,WATER PUMP
GWT100A WATER PUMP,6.86,WATER PUMP
CLT 31 LINKS,3,STABILIZER LINKS
CLMZ 10 LINKS,3.56,STABILIZER LINKS
CLMZ 9LINKS,3.56,STABILIZER LINKS
SZ1 LINKS,2,STABILIZER LINKS
48819-52010 LINKS,1.44,STABILIZER LINKS
CLT 58/9,2.04,STABILIZER LINKS
CLT 29 LINKS,2.35,STABILIZER LINKS
CLT 45/46,2.78,STABILIZER LINKS
CLT 19LINKS,2.42,STABILIZER LINKS
CLT 43 LINKS,1.92,STABILIZER LINKS
CLT 4 LINKS,1.82,STABILIZER LINKS
CLT 67 LINKS,2,STABILIZER LINKS
DT100CLUTCH PLATE,9.21,CLUTCH PLATE
DT36 CLUTCH PLATE,8,CLUTCH PLATE
DT68CLUTCH PLATE,9.25,CLUTCH PLATE
CTX045 PRESSURE PLATES,15.16,PRESSURE PLATES
CT14 PRESSURE PLATES,11.9,PRESSURE PLATES
CN21 PRESSURE PLATES,20.02,PRESSURE PLATES
ISC600 PRESSURE PLATES,18,PRESSURE PLATES
DAC3871/33 WHEELB,3.6,WHEEL BEARING
23300-75100,2,NON GUD FUEL AND OIL FILTERS
NI13,8,CV JOINTS
CBN31 BALL JOINTS,2.79,BALL JOINTS
CBT63,2.59,BALL JOINTS
CBMZ47 BALL JOINTS,6.9,BALL JOINTS
CLT 15 LINKS,1.71,STABILIZER LINKS
CLT 14 LINKS,1.71,STABILIZER LINKS
CLT 24/5,2.45,STABILIZER LINKS
48820-26030LINKS,2,STABILIZER LINKS
48819-26050LINKS,1.60222,STABILIZER LINKS
48810-22010LINKS,2,STABILIZER LINKS
CLT49 LINKS,2,STABILIZER LINKS
CLT62 LINKS,2.37082,STABILIZER LINKS
40206-VW000 / 601,17.75,BRAKE  DISC
43512-52010 BRAKE DISC,8.34,BRAKE  DISC
43512-12350BRAKE DISC,10.38,BRAKE  DISC
13408-54090 CRANK SHAFT PULLY,20.71,OIL PUMPS
43502-12010,8.86,HUB
43502-20131,5.92,HUB
23301-54460 PRIME PUMPS,3.78,PRIME PUMPS
MB554950 PRIME PUMPS,5,PRIME PUMPS
16401-VW200PRIME PUMPS,3.7,PRIME PUMPS
16100-09450 WATER PUMP,8,WATER PUMP
GWT79A WATER PUMP,8.88,WATER PUMP
TO19 26TH TRIPODS,3,TRIPODS
TO107 19TH TRIPODS,3,TRIPODS
N117 23TH TRIPODS,3,TRIPODS
HO47 25TH TRIPODS,3.88,TRIPODS
DGT 03 25TH / DGT 04,4,TRIPODS
DGT11 32TH TRIPODS,4,TRIPODS
DGT19 28TH TRIPODS,4,TRIPODS
DGT12 20TH TRIPOD,4,TRIPODS
UB39-40-400 CLUTCH MASTER,4.93,CLUTCH MASTER CYLINDER
31470-36221 CLUTCH MASTER,5.13,CLUTCH MASTER CYLINDER
30620-41L00 CLUTCH MASTER,3.42,CLUTCH MASTER CYLINDER
8-97201007-0 CLUTCH MASTER,6.87,CLUTCH MASTER CYLINDER
UB93-41-400 CLUTCH MASTER,4.99,CLUTCH MASTER CYLINDER
30610-VW00B CLUTCH MASTER,6.22,CLUTCH MASTER CYLINDER
31410-42010 CLUTCH MASTER,6.9,CLUTCH MASTER CYLINDER
31410-35090 CLUTCH MASTER,7.23,CLUTCH MASTER CYLINDER
31470-26090 CLUTCH MASTER,3.29,CLUTCH MASTER CYLINDER
TO05 CV JOINTS,9.21,CV JOINTS
