Item Name,Average Unit Cost,Department Name
48530-20260 / 333063,10.19,SHOCKS
341492,8.9,SHOCKS
48609-22150 SHOCK P,6,SHOCK PADS
A394 / 04465-YZZ51,2.81,BRAKE PADS
A275 BRAKE P,2.91,BRAKE PADS
A221 BRAKE PADS,5,BRAKE PADS
51350/60-SAE-T01,9.21,CONTROL ARMS
50810-SR3-983,7.53,ENGINE MOUNTING
48510-B1040 / 332120 SHOCKS,7.5,SHOCKS
48540-20260 / 333064,15,SHOCKS
339031/2,18.08,SHOCKS
48530-80397 / 551120,15.12,SHOCKS
A690 BRAKE P,4.93,BRAKE PADS
A303 BRAKE P,4.656,BRAKE PADS
A498 / 04465-60190,5.14,BRAKE PADS
BP627 / A627,5,BRAKE PADS
48068/9-59095,10.99,CONTROL ARMS
11320/21-4M400/410,6.58,ENGINE MOUNTING
12362-15160,5,ENGINE MOUNTING
48530-52040 / 343442,6.57,SHOCKS
48510/20-44180 / 334319/20,18.08,SHOCKS
48530-29825 / 341423,14.47,SHOCKS
48609-33121L,6.58,SHOCK PADS
A111,3.44483,BRAKE PADS
A467 BRAKE P,5,BRAKE PADS
A298,3.95,BRAKE PADS
A617 BRAKE P,4.99714,BRAKE PADS
52390/400-SR3-000,6.68,CONTROL ARMS
12372-23010,4.71,ENGINE MOUNTING
12371-28021,7.28,ENGINE MOUNTING
3347 / 344323,6.25,SHOCKS
48511-26201 / 349037,10.19,SHOCKS
48510-29185 / 341296 / 341422,13.15,SHOCKS
A377 / 45022-SEL-T02,3.6,BRAKE PADS
04465-0K240 BRAKE P,4.52,BRAKE PADS
A127 / 41060-A19X6,3.42,BRAKE PADS
BP-MP-381 BRAKE P,5.82,BRAKE PADS
54500/1-4M410,13,CONTROL ARMS
S083-39-040 / UR58 -39-040B,4.6,ENGINE MOUNTING
52610-S7C-N05 SHOCKS,14.1,SHOCKS
54302/3-50C25 / 333089/90,17.42,SHOCKS
48609-33120L,6.58,SHOCK PADS
A618,3.58,BRAKE PADS
A732 BRAKE P,4.52,BRAKE PADS
A553 BRAKE P,3.44,BRAKE PADS
12361-11180 / 15170,4.11,ENGINE MOUNTING
12371-15241,8,ENGINE MOUNTING
56210-EL00A / 343465,7.3,SHOCKS
18322-89 / 555061,13.11,SHOCKS
48609-0K020 SHOCK P,5.52,SHOCK PADS
A699,3.96333,BRAKE PADS
A450 /41060-OW785,4.2,BRAKE PADS
A603 BRAKE P,3.42,BRAKE PADS
A734 BRAKE P,4.79,BRAKE PADS
51450/60-S10-020,8.82,CONTROL ARMS
12371-74320,7.55,ENGINE MOUNTING
11210-18G01,8,ENGINE MOUNTING
50820-S10-004,10.85,ENGINE MOUNTING
48530-09B40 / 341815,13.15,SHOCKS
A212 / 4106M-58X02,3.77,BRAKE PADS
11320-VW200,9.53,ENGINE MOUNTING
12361-16210,8,ENGINE MOUNTING
50821-SAA-013,10.19,ENGINE MOUNTING
52610-TFO-G12 / 343086 / 348016,8.46,SHOCKS
48531-80561 SHOCKS,9.21,SHOCKS
48531-26730 / 344485,6.85,SHOCKS
54590-01E00,3,BLACK BUSHES
48655-30180,3.95,BLACK BUSHES
51360-S04-G00S,1.89,BLACK BUSHES
48655-10050B,3,BLACK BUSHES
BLACK RUBBER BUSHES,3,YELLOW BUSH
CET 147 / 45046-09281,4.09,TIE ROD ENDS
CBT 40 BALL JOINTS,3.21,BALL JOINTS
48066/7-29075,18.99,CONTROL ARMS
12305-B1020,12.82,ENGINE MOUNTING
56110-25GX5,9.21,SHOCKS
MR418049 / 344300 SHOCKS,10.19,SHOCKS
B32T-34-700/900 / 334700/1,14.11,SHOCKS
51605-S10-024 / 341260,12.5,SHOCKS
48655-30130,2.5,BLACK BUSHES
A709 BRAKE P,3.45,BRAKE PADS
12361-16040,12,ENGINE MOUNTING
349078,9.88,SHOCKS
52611- S10-024 / 341261,12.5,SHOCKS
51605/6-SEN-CO2 / 333331/2,12.13,SHOCKS
48632-30100,1.8,BLACK BUSHES
A410 / A634 /04465-12592,3.59638,BRAKE PADS
12305-16060,7.89,ENGINE MOUNTING
12372-15171,10,ENGINE MOUNTING
54302/3-2W500 SHOCKS,18.64,SHOCKS
48530-10080 / 341082,10.85,SHOCKS
56210-JG02A,6.36,SHOCKS
48655-OK040,3.62,BLACK BUSHES
54570-OW020 BLACK BUSH,3,BLACK BUSHES
A124 / 04465-YZZ62,3.78,BRAKE PADS
48066/7-29025,18.99,CONTROL ARMS
T-002 SENSES,1.5,DIESEL SENSOR
11360-IKA0A,6.58,ENGINE MOUNTING
12361-11160,6,ENGINE MOUNTING
52610-SEN-C02 / 343381,6.25,SHOCKS
BP4K-28-910 / 343412,11,SHOCKS
1799337 / 551137,8.75,SHOCKS
48510/20-80178/80025 / 333338/9,10,SHOCKS
90385-13004,1.15,BLACK BUSHES
A688,2.8,BRAKE PADS
11220-ED000,4.6,ENGINE MOUNTING
48530-52030 / 343295,6.63,SHOCKS
343478 / 96424027,10.19,SHOCKS
48530-52560 / 340061 SHOCKS,10.9,SHOCKS
B092-28-700/9 / 332019 / 333026,10,SHOCKS
A687  BRAKE P,4.35,BRAKE PADS
48068/9-B1010,15.88,CONTROL ARMS
55240-ED70A,5,ENGINE MOUNTING
48530-52440 / 343434,6.25,SHOCKS
345044 \ 48511-69645,11.4,SHOCKS
56210-41B05 / 343249,11.18,SHOCKS
48510/20-19485 / 19215 / 333209,10.28,SHOCKS
52371-S9A-020,5.92,BLACK BUSHES
A366 / MR60009,5.47,BRAKE PADS
12362-36030,16.44,ENGINE MOUNTING
12303-72010,4.11,ENGINE MOUNTING
41800-68K00 / 348028,10,SHOCKS
48530-32350 / 341334,7.5,SHOCKS
48520-19215 / 333210,10.28,SHOCKS
55302/3-8H600 / 334362/3,18.64,SHOCKS
51306-57B-014 BLACK BUSHES,3,BLACK BUSHES
A489,3.775,BRAKE PADS
12361-22080 ENGINE M,10,ENGINE MOUNTING
56110-VW025 / 344463,6.25,SHOCKS
54302/3-8H600 / 334360/1,15,SHOCKS
48510-52030 / 333258,10,SHOCKS SUPERFLEX
48635-28060,2.3,BLACK BUSHES
48061-26010,2.63,BLACK BUSHES
A330 BRAKE P,5,BRAKE PADS
54500/1-JEZ0A,25,CONTROL ARMS
12361-54143,5,ENGINE MOUNTING
48530-44030 / 344362,11.39,SHOCKS
3178 / MR161497,10.19,SHOCKS
48530/40-12790 / 333116/7,11.53,SHOCKS SUPERFLEX
55046-OW001,2.3,BLACK BUSHES
TC55GX90B,4.11,BLACK BUSHES
51350-TG0-T02,2.79,BLACK BUSHES
54570-4M410,1.81,BLACK BUSHES
55152-35F00,3,BLACK BUSHES
54570-69Y10,2.3,BLACK BUSHES
51360-S04-G00M,1.89,BLACK BUSHES
55044-4M410,1.64,BLACK BUSHES
55501-WA005,3,BLACK BUSHES
55046-0T000,3,BLACK BUSHES
MR210722,10.89,SHOCKS
48075-30020,3,BLACK BUSHES
54542-2S610,3,BLACK BUSHES
48725-44030,4.27,BLACK BUSHES
Z212 GUD FILTER,4.93,GUD FILTERS
52385-SEL-000 BLACK BUSHES,4.27,BLACK BUSHES
S47P-34-820,2.79,BLACK BUSHES
54560-VW010,2.47,BLACK BUSHES
51350-SEL-T01,1.64,BLACK BUSHES
51391-S04-005,2.63,BLACK BUSHES
S47P-34-710,3,BLACK BUSHES
B25D-34-470,3,BLACK BUSHES
A376 BRAKE PADS,2.95,BRAKE PADS
51391-SEL-T01,2.3,BLACK BUSHES
UC3C-34-470A,3.12,BLACK BUSHES
54542-21T10,3,BLACK BUSHES
AC066 / D-BUSHES,1.8,YELLOW BUSH
48510/20-42090,15,SHOCKS
52370-SH3-G70,4.93,BLACK BUSHES
48061-27011,3.29,BLACK BUSHES
U2CR-34-470,3.45,BLACK BUSHES
48654-20190,1.64,BLACK BUSHES
48654-12050,2.33,BLACK BUSHES
48655-44020,3,BLACK BUSHES
55120-JD000,2.3,BLACK BUSHES
U2CR-34-460,3.45,BLACK BUSHES
B25D-34-830 BLACK BUSH,3,BLACK BUSHES
B25D-34-460,1.8,BLACK BUSHES
51391-SDA-A03,3,BLACK BUSHES
48725-42011,3,BLACK BUSHES
12361-16290/B,3,BLACK BUSHES
48635-26010 BB,2.96,BLACK BUSHES
CBN54 SERENA,2.47,BALL JOINTS
12371-74330,4,BLACK BUSHES
51460-S04-023,3,BLACK BUSHES
54560-EE30,1.48,BLACK BUSHES
48655-12120,1.48,BLACK BUSHES
51360-S84-A01,3,BLACK BUSHES
54590-0W001,3,BLACK BUSHES
AC43/45 YB,2,YELLOW BUSH
48530-60150,7.5,SHOCKS
51605/6-SWA-A21 / 339261/2,12.07,SHOCKS
48530/40-20260,10.19,SHOCKS
48632-35080,3,BLACK BUSHES
D375-28-460,4.6,BLACK BUSHES
48655-06030,3,BLACK BUSHES
48655-50012,3,BLACK BUSHES
344461,0,SHOCKS
54617-VW000 / CLN 71,2.3,STABILIZER LINKS
12371-22140B,3,ENGINE MOUNTING
51810-SH3-004,1.97,BLACK BUSHES
48725-02240/12540,4.77,BLACK BUSHES
11320-8H800B BLACK BUSH,5,BLACK BUSHES
54750-0W020,3,BLACK BUSHES
48725-44051,7.56,BLACK BUSHES
48654-02050,2.99,BLACK BUSHES
48655-20140,3,BLACK BUSHES
12371-28060B,2,BLACK BUSHES
48725-12150,1.8,BLACK BUSHES
48655-12170/T,1.97,BLACK BUSHES
48510/20-2B310,14.79,SHOCKS
48655-33040,1.97,BLACK BUSHES
48655-12050,3,BLACK BUSHES
90389-14007,1.97,BLACK BUSHES
12372-28110B,6.3,BLACK BUSHES
DISPLAY,5,BALL JOINTS
H0005,5,BALL JOINTS
CRN 14,3,KNUCKLES
48510/20-09730 / 334424/5,14.21,SHOCKS
D571-34-700/900 / 333414 / 5,16.73,SHOCKS
B32H-34-350B,5.26,BLACK BUSHES
48654-59035,1.64,BLACK BUSHES
51605/6-S1K-004 / 341200 / 1,13.15,SHOCKS
48530/40-09N90 / 339112/3,14.13,SHOCKS
48655-0D060,1.89,BLACK BUSHES
TB 39 / 31230-35060,3.27,THRUST BREARINGS
48655-060F0,3,BLACK BUSHES
48655-44010,2.47,BLACK BUSHES
48655-28020,2.22,BLACK BUSHES
12361-16310B,3,BLACK BUSHES
48531-69155 / 344061,7.94,SHOCKS
A717,5.75,BRAKE PADS
12361-31101,15,ENGINE MOUNTING
11220-4M412,9.21,ENGINE MOUNTING
48530-68040 / 341375,8.75,SHOCKS
48511-69207 / 345017,14.14,SHOCKS
D571-28-700,11.84,SHOCKS
48510/20-12760/640 / 333114/5,10,SHOCKS
A358 BRAKE P,5,BRAKE PADS
48655-0K010,4.93,BLACK BUSHES
A715  BRAKE P,4.928,BRAKE PADS
16546-V0100,1.48,AIR FILTERS
17801-OL040,3,AIR FILTERS
54560-VW020,2.63,BLACK BUSHES
48655-22010,3,BLACK BUSHES
55046-S9000,3,BLACK BUSHES
48654-12120,1.64,BLACK BUSHES
UR56-34-470,2.47,BLACK BUSHES
48655-B1010,3,BLACK BUSHES
CV 212 / HO 24,10.19,CV JOINTS
CBIS 13,5.59,BALL JOINTS
17220-RBJ-000,2.24,AIR FILTERS
51306-S04-N01,3,BLACK BUSHES
54613-VW008,1.15,BLACK BUSHES
54570-ED50A / EE500,2.14,BLACK BUSHES
CBT 14,4.27,BALL JOINTS
UB39-39-040A,3.35,ENGINE MOUNTING
48655-42040 BLACK BUSH,3,BLACK BUSHES
55045-VW000,3,BLACK BUSHES
11321-4M400,4,BLACK BUSHES
11270-8H310,0,ENGINE MOUNTING
TB 63 THRUST BEARING,3,THRUST BREARINGS
51925-S6M-014,7.89,SHOCK PADS
CTX 125,20,PRESSURE PLATES
BJ 147,5,BALL JOINTS
D571-39-040,9.93,ENGINE MOUNTING
48068/9-12220,10.7,CONTROL ARMS
50805-SAA-982,6.57,ENGINE MOUNTING
56110-EA026,12.49,SHOCKS
48510/20-B4021 / 333496,15.53,SHOCKS
DGT-05-30T,4.14,TRIPODS
UJ1000,5,TRIPODS
BR 42,5,WHEEL BEARING
MZC594,15,PRESSURE PLATES
CBN 68,5,BALL JOINTS
A462,5,BRAKE PADS
TB 14 THRUST BEARING,5,THRUST BREARINGS
SL01-13-35X,4.11,FUEL PUMP
48531-80399 / 344100 / 344204,6.79,SHOCKS
47201-26450,11.84,CLUTCH MASTER CYLINDER
CEHO 47/8,7.52,TIE ROD ENDS
48510/20-28040 / 334093/4,14.14,SHOCKS
43512-12650,11.5,BRAKE  DISC
CEN 115/6 / 48520/640-3U025,6.5,TIE ROD ENDS
48510/20-39615/6 / 334245/6,18.06,SHOCKS
11750-2W200,18.08,TENSIONER
CET 116,5.72,TIE ROD ENDS
16546-3HDOA,2.42,AIR FILTERS
31204-20071,3.11,CLUTCH FORK
31210-52010 / CT 114,14.14,PRESSURE PLATES
31230-12140,2.93,CLUTCH BEARING
43512-16110,8.55,BRAKE  DISC
UJ93,5,TRIPODS
BR 35,5,WHEEL BEARING
CN 030 / 30210-53Y05,13.81,PRESSURE PLATES
BJ 99,5,BALL JOINTS
31230-52010,2.76,CLUTCH BEARING
UJ6,5,TRIPODS
30210-25710,13,PRESSURE PLATES
17220-PWC-000,1.64,AIR FILTERS
MD703270,3.11,CLUTCH BEARING
UJ87,5,TRIPODS
BR 189,4,WHEEL BEARING
12361-54121,4.44,ENGINE MOUNTING
16010-ST5-933,1.8,NON GUD FUEL AND OIL FILTERS
DGT 14 26TH,4.5,TRIPODS
23 SPLINES,10,CLUTCH PLATE
B092-34-700/900,10,SHOCKS
BJ 61,5,BALL JOINTS
43502-42010,9.4975,HUB
CRN 32-SR4910,4.14,KNUCKLES
29300-54180,18.99,VACUM PUMPS
SMALL 22TH,5,TRIPODS
DN1,10,CLUTCH PLATE
NI 45,10,CV JOINTS
04465-02391,4.71,BRAKE PADS
43340-09090,7.23,BALL JOINTS
DN4,10,CLUTCH PLATE
52611-S9F-A01,12.77,SHOCKS
BJ 201,5,BALL JOINTS
CBN 71,4.32,BALL JOINTS
48068/9-59035,10.37,CONTROL ARMS
48511-3D140,9.65,SHOCKS
CN 007,14.8,CLUTCH PLATE
GWT 142A,8,WATER PUMP
BJ 65,5,BALL JOINTS
A761,3.6,BRAKE PADS
48068/9-12250,9.48,CONTROL ARMS
MR992670,9,ENGINE MOUNTING
TO 54A,11.18,CV JOINTS
DA-06,10,CV JOINTS
BJ 257,5,BALL JOINTS
A727,3.97,BRAKE PADS
TB2,5,THRUST BREARINGS
ME031962,8,ENGINE MOUNTING
CTX 013,13.81,CLUTCH PLATE
16400-44G10,3.95,PRIME PUMPS
BJ 258,5,BALL JOINTS
AMT07506R602,58.68,POWER STEERING PUMP
YBTO-01A69,5,TRIPODS
42450-52020,19.73,HUB
ME017631,8,ENGINE MOUNTING
CBN 46,3.8736,BALL JOINTS
43502-16040,6.9356,HUB
BJ 55,5,BALL JOINTS
PC 14,10,CENTRE BEARING
BC10-700/900,16,SHOCKS
DISPLAY,4,TIE ROD ENDS
CEMZ 41,9.66,TIE ROD ENDS
IF 17,2,NON GUD FUEL AND OIL FILTERS
BJ 44,5,BALL JOINTS
SR-T490,3,KNUCKLES
A726 / BP-726,5,BRAKE PADS
104948/10,5,WHEEL BEARING
SH-13,10,SHOCKS
48531-26390,8,SHOCKS
90919-01253,1.5,SPARK PLUG
BJ 21,5,BALL JOINTS
CRN 28,3,KNUCKLES
WP 50,7,WATER PUMP
332504/5,15,SHOCKS
WP 52,5,WATER PUMP
AC 014,1,YELLOW BUSH
CBM 11,5,BALL JOINTS
CV 85,10,CV JOINTS
A483,5,BRAKE PADS
KD45-34-700/900,21.37,SHOCKS
45251-SEL-000 / SAA-000,8.77,BRAKE  DISC
52306-S9A-005,3,BLACK BUSHES
52365-SH3-014,1.64,BLACK BUSHES
MR353951,3,BLACK BUSHES
54506-B9500,1.48,BLACK BUSHES
48654-OK040,3.62,BLACK BUSHES
55302/3-57C25,19.07,SHOCKS
40520-S10-003,8,CENTRE BEARING
54542-VW000,3,BLACK BUSHES
55046-VW000,3,BLACK BUSHES
48632-0K010,2.3,BLACK BUSHES
90389-19002,3,BLACK BUSHES
HO 67,10.34,CV JOINTS
8-970-18-165-0,3,BLACK BUSHES
48654-30070,3,BLACK BUSHES
48654-OK010,4.6,BLACK BUSHES
48632-22030,1.81,BLACK BUSHES
48654-0D040,1.48,BLACK BUSHES
52393-SR3-004,1.97,BLACK BUSHES
54542-2S600,15,CONTROL ARMS
AC062,0,YELLOW BUSH
45503-19075,3,KNUCKLES
CV 196,10,CV JOINTS
HB3000,8,HUB
AC038,2,YELLOW BUSH
CV 112,10,CV JOINTS
HB-TYT-32070,8,HUB
DAC437643,4.23,WHEEL BEARING
AC 130,3.92,YELLOW BUSH
CEMZ 59,7.32,TIE ROD ENDS
RE 053-1,3,KNUCKLES
CV 200,10,CV JOINTS
54570-85E20,2,BLACK BUSHES
11210-VW201,10,ENGINE MOUNTING
AC036,1.15,YELLOW BUSH
CLT 25,3,STABILIZER LINKS
HB -TYT-44010,8,HUB
12361-74340,8,ENGINE MOUNTING
SZ 35,2,STABILIZER LINKS
LOOSE / UNCODED,3,KNUCKLES
CV 57,10,CV JOINTS
EW-123,6,ACCESSORIES
55501-JD00A,2,BLACK BUSHES
48609-20410,8,SHOCK PADS
AC 142,3.8,YELLOW BUSH
CLHO 12/13,3.6,STABILIZER LINKS
40160-2S601,5,BALL JOINTS
H8119,5,BALL JOINTS
AC007,4,YELLOW BUSH
CLN 6 / 56261-4F701,2.47,STABILIZER LINKS
CV 291,10,CV JOINTS
CBT 69/70,5,BALL JOINTS
48820-44020,3,STABILIZER LINKS
CV 42,10,CV JOINTS
CBSU 3,5,BALL JOINTS
CV63,10,CV JOINTS
CV220,10,CV JOINTS
CV 94,10,CV JOINTS
CV 95,10,CV JOINTS
CET 133,5,TIE ROD ENDS
VACCUM PUMP,10,ACCESSORIES
CET 144,4,TIE ROD ENDS
51392-TG5-A01,2,BLACK BUSHES
CEN 79,4,TIE ROD ENDS
DISPLAY,4,STABILIZER LINKS
HB 137,10,PRESSURE PLATES
DAC3572/17,6,WHEEL BEARING
E6200-3XAOA,9.32,SHOCKS
54325-ED02A,8,CENTRE BEARING
ACT 066,10,PRESSURE PLATES
DAC6201,0.24,WHEEL BEARING
56210-WK326/444319,9.2,SHOCKS
MR154199,8,CENTRE BEARING
CN 001,11,PRESSURE PLATES
DAC6202,0.39,WHEEL BEARING
8-97025-752-0,8,CENTRE BEARING
C 217,10,PRESSURE PLATES
DAC6203,0.39,WHEEL BEARING
42431-26160,11.39,BRAKE  DISC
ISC 588,18.08,PRESSURE PLATES
BR 87,3,WHEEL BEARING
17801-11050,1.81,AIR FILTERS
CLT 134,1.9,STABILIZER LINKS
PRESSURE PLATE LOOSE,10,PRESSURE PLATES
DAC4090/26,4,WHEEL BEARING
CLT 123,1.9,STABILIZER LINKS
MZC629,22.44,PRESSURE PLATES
WBK 052,4,WHEEL BEARING
PRESSURE PLATE DISPLAY,12,PRESSURE PLATES
8-97201-007-0,7.5,CLUTCH MASTER CYLINDER
50822-T9A-013,12.67,ENGINE MOUNTING
48632-01G00,3,BLACK BUSHES
CLUTCH MASTER DISPLAY,6,CLUTCH MASTER CYLINDER
50850-T9A-013,11.69,ENGINE MOUNTING
51306-SR3-010,2,BLACK BUSHES
CS093-41-920,5.26,SLAVE CYLINDER
11210-JE20B,16.57,ENGINE MOUNTING
16401-44G10,3.51,FUEL PUMP
12371-28210,12.43,ENGINE MOUNTING
54535-V5000,3,BLACK BUSHES
23303-64320,3,FUEL PUMP
316HK514,2,BLACK BUSHES
THRUST BEARING LOOSE,3,THRUST BREARINGS
ST26,3,TRIPODS
55R550 4501W,3,BLACK BUSHES
GUT 17,3,TRIPODS
12371-74340,9,ENGINE MOUNTING
48609-97402,4.11,SHOCK PADS
UJ 46,5,TRIPODS
12372-74620,7,ENGINE MOUNTING
DAC4278/38,4,WHEEL BEARING
DAC42BWD06,4,WHEEL BEARING
DAC4094/26,4,WHEEL BEARING
DG409431/26,4,WHEEL BEARING
DAC3568/33,3.28,WHEEL BEARING
S083-39-340,7,ENGINE MOUNTING
40202-JE20A,13,HUB
8-97078409,6,BRAKE PADS
A198 / A767,3,BRAKE PADS
48609-16090,5.15,SHOCK PADS
48609-16310,6.68,SHOCK PADS
48510-29195 / 341288,7.5,SHOCKS
CBT 61/2,4.83,BALL JOINTS
45056-59195 / 59135,8,TIE ROD ENDS
A6A4009A,6.25,SHOCKS
334342/3,14.18,SHOCKS
48510/20-12700 / 334186/7,15,SHOCKS
B25D-28-700/900 / 333276/7,16.25,SHOCKS
334344/5,11.04,SHOCKS
51605/6-S9F-A01 / 331035/6,18.18,SHOCKS
54302/3-3ST0B,14.02,SHOCKS
CBMZ 4,4,BALL JOINTS
CRANK SHAFT,14.99,ACCESSORIES
48609-42010,5.87,SHOCK PADS
CLHO 92,2,STABILIZER LINKS
HI-070502,12.99,HUB
UB93-32-320B,5,CLUTCH MASTER CYLINDER
46010-25G00,8,CLUTCH MASTER CYLINDER
48530-80440,11.73,SHOCKS
44600-S47P-000,11,HUB
A783,3.77,BRAKE PADS
11461-54090,15,CYLINDER
48510/20-80285,14.33,SHOCKS
17801-B2050,2,AIR FILTERS
31210-36310 / CT 110,32.95,CLUTCH PLATE
A784,2.99,BRAKE PADS
12305-OM120,19.55,ENGINE MOUNTING
A753,3.35,BRAKE PADS
DT 113,10.95,CLUTCH PLATE
GHR9-39-070,22.5,ENGINE MOUNTING
SP002,39.89,STEERING PUMP
54320-8H310,6.55,ENGINE MOUNTING
58TKB3505RA,3.28,THRUST BREARINGS
ZAP-VP004,27.88,VACUM PUMPS
21010-VW228,42.95,WATER PUMP
E6110-3XA0A,8.98,SHOCKS
56210-3STOB,11.04,SHOCKS
48510-69155,7.5,SHOCKS
48611-69654,8.75,SHOCKS
12309-OH041,10.7,ENGINE MOUNTING
50822-TGO-T02,11,ENGINE MOUNTING
50850-TGO-T03,13.8,ENGINE MOUNTING
52341-S04-005,3,BLACK BUSHES
DN 008,8,CLUTCH PLATE
43512-BZ040,12,BRAKE  DISC
40206-JG00A,12,BRAKE  DISC
CEM 53/4,5.86,TIE ROD ENDS
48609-OD050 / 48619-OD010,3.45,SHOCK PADS
TO 67,14.49,CV JOINTS
12372-15220,8,ENGINE MOUNTING
CBMZ 50,3.95,BALL JOINTS
CLT 92,1.84,STABILIZER LINKS
SRT 940,6.58,KNUCKLES
CET 206,5.59,TIE ROD ENDS
90948-01003,0.33,BLACK BUSHES
666676/8 / 333338/9,12.88,SHOCKS SUPERFLEX
666662/4 / 333331/2,13.13,SHOCKS SUPERFLEX
CRT 124,5.26,KNUCKLES
1108236 / 344204,8,SHOCKS SUPERFLEX
50TKB3501,2,THRUST BREARINGS
12305-21060,8.15429,ENGINE MOUNTING
A605,3.26,BRAKE PADS
54500/1-AX600,11.58,CONTROL ARMS
NI 69,15,CV JOINTS
333331/2 4X4,18.04,SHOCKS
TO 35A,10,CV JOINTS
51320/1-SLA-000,4.6,STABILIZER LINKS
339317/8,8,SHOCKS
CBT 74,4,BALL JOINTS
42200-S10-018,7,HUB
A213,3,BRAKE PADS
A486,3,BRAKE PADS
LOOSE BUSHES,3,BLACK BUSHES
HONDA 32TH,5,TRIPODS
GWT 132A,8,WATER PUMP
MR 996670,5,ENGINE MOUNTING
54524/5-2S600,11,CONTROL ARMS
LOOSE CONTROL ARM,10,CONTROL ARMS
CN 003,11,PRESSURE PLATES
GUM 93,2.7,TRIPODS
54320-JP00A,2.8,SHOCK PADS
54320-4CL0B,4.45,SHOCK PADS
DT 140/ DTX 151 / 31250-37040,16.78,CLUTCH PLATE
TO 12,8.6,CV JOINTS
TO 17A,9.93,CV JOINTS
55056-EE500,2,BLACK BUSHES
333310/11,14.58,SHOCKS
CM 923 / MR111344,20.2,PRESSURE PLATES
31420-26090,5.84,CLUTCH MASTER CYLINDER
48760/80-OR010,11.64,CONTROL ARMS
D3119 / DB1366,4.38,BRAKE PADS
TO 88,7.25,CV JOINTS
43502-32080,8.25,HUB
1124202140424,10,SHOCKS SUPERFLEX
103212382424028 / 51605/6-SLA-0,10,SHOCKS SUPERFLEX
10522041202006 / 52610-TFO-J03,6,SHOCKS SUPERFLEX
10860664224 / 54302/3-3BB1A,10,SHOCKS SUPERFLEX
5161120601003 / 51611-TF0-J03,10,SHOCKS SUPERFLEX
DC20 / DC22 / E112  BCID 9W201,10,SHOCKS
9700059350,10,SHOCKS SUPERFLEX
D8521-JG00A,3.6,KNUCKLES
40160-01G50,4.05,BALL JOINTS
50805-S9A-013,10.8,ENGINE MOUNTING
43330-29575,8.1,BALL JOINTS
12371-B4010,8,ENGINE MOUNTING
48510/20-09N90 / 339110,12,SHOCKS
AC 013,3,YELLOW BUSH
AC 102,2.24,YELLOW BUSH
AC 042,0.94,YELLOW BUSH
DAC 3874/36,2.95,WHEEL BEARING
R0 387,7.88,HUB
R504,7.88,HUB
R023,17.94,HUB
R091,16.95,HUB
RO026,16.95,HUB
SP003,40.26,STEERING PUMP
44320-26070,38.85,STEERING PUMP
48520/4-1HMOA,7.44,TIE ROD ENDS
48655-OD080,2,BLACK BUSHES
48609-52100,5,SHOCK PADS
48632-OK040,5,BLACK BUSHES
8-97235-787/6-0,3,STABILIZER LINKS
AC006,0.47,YELLOW BUSH
344207,9.2,SHOCKS
TO 661,2,NON GUD FUEL AND OIL FILTERS
CV 114,10,CV JOINTS
V7090,3,BRAKE PADS
GWT 133,7,WATER PUMP
341866/67 / 48510/20-12700,15,SHOCKS
IF 38,2,NON GUD FUEL AND OIL FILTERS
E301-16-460,13,PRESSURE PLATES
53010-SWC-G0Z,3,KNUCKLES
CV 168,10,CV JOINTS
54302/3-4N002,15,SHOCKS
AC 072,6.96,YELLOW BUSH
30210-21000 / CN 1,13,PRESSURE PLATES
BJ 58,5,BALL JOINTS
45503-30070,2,KNUCKLES
CV 115,10,CV JOINTS
A452,5,BRAKE PADS
WP 92,7,WATER PUMP
MR992321,15,SHOCKS
3037,15,SHOCKS
AC63,5.32,YELLOW BUSH
BJ 59,5,BALL JOINTS
CRT 43,2.33,KNUCKLES
CV 14,10,CV JOINTS
A661,5,BRAKE PADS
43502-05020,8,HUB
AC018,1.43,YELLOW BUSH
CV 3,10,CV JOINTS
CEMZ 25,4,TIE ROD ENDS
42450-52060,9,HUB
677426/338713,11,SHOCKS
54500/1-1HK0A,9.34,CONTROL ARMS
48061-60010,3,BLACK BUSHES
42100-SMG-E06,6,BLACK BUSHES
330054/6,12,SHOCKS
48510-OK012,7.5,SHOCKS
48510/20-48010,15,SHOCKS
48510-60150,13.5,SHOCKS
48530/40-12700,12,SHOCKS
341276 / 682552,8.75,SHOCKS
341351 / 682702,7.5,SHOCKS
