SKU,Name,AroniumPrice,AppPrice,AroniumTax,AppTax,AroniumStock,AppStock,Status,Diff
10155,Hitet 120 100mls,9.00,9.00,0,0,0.0,0.0,OK,
10156,Hitet 200 Satchets,5.00,5.00,0,0,0.0,0.0,OK,
10157,Hitet 300 100mls,20.00,20.00,0,0,0.0,0.0,OK,
10158,Hitet 200 100mls,15.00,15.00,0,0,0.0,0.0,OK,
10159,Hosepipe 25metres,27.00,27.00,15.5,15.5,0.0,0.0,OK,
10160,Infrared 250 Watts,5.00,5.00,15.5,15.5,0.0,0.0,OK,
10161,Stress pack innovet 100g,3.00,3.00,0,0,0.0,50.0,OK,
10162,Intermectin injection 100mls,10.00,10.00,0,0,0.0,0.0,OK,
10163,Intermectin Super 100mls,22.00,22.00,0,0,0.0,0.0,OK,
10164,Intertrim 100mls,10.00,10.00,0,0,0.0,12.0,OK,
10165,Intracox pump 100mls,15.00,15.00,0,0,0.0,10.0,OK,
10166,Intrafer 100 100mls,10.00,10.00,0,0,0.0,0.0,OK,
10174,KNAPSACK SPRAYER -16 LITRES,16.00,16.00,15.5,15.5,0.0,15.0,OK,
10175,Lactacting Maxi 28kg,42.00,42.00,0,0,0.0,5.0,OK,
10176,Lactacting maxi 7kg,12.00,12.00,0,0,0.0,4.0,OK,
10177,Lambda 200mls,3.50,3.50,0,0,0.0,25.0,OK,
10178,Infrared lampholder,1.00,1.00,15.5,15.5,0.0,0.0,OK,
10179,Layers Conce 25kg,17.50,17.50,0,0,0.0,0.0,OK,
10180,Layers Mash 25kgs,15.00,15.00,0,0,0.0,0.0,OK,
10181,Layers Concentrate 50kg,35.00,35.00,0,0,0.0,0.0,OK,
10182,Layers Mash 10kg,7.00,7.00,0,0,0.0,4.0,OK,
10184,Limestone 50kg,10.00,10.00,0,0,0.0,11.0,OK,
10185,Limstone 1kg for free,0.00,0.00,0,0,0.0,0.0,OK,
10186,Liquid parraﬁn 200mls,4.00,4.00,0,0,0.0,1.0,OK,
10187,Liquid Parraﬁn 500mls,6.00,6.00,0,0,0.0,0.0,OK,
10188,Limoxin 10% 100mls,7.00,7.00,0,0,0.0,0.0,OK,
10189,Maize Germ 30kg,8.00,8.00,0,0,0.0,0.0,OK,
10190,Maize Bran 25kg,6.00,6.00,0,0,0.0,224.0,OK,
10191,Malathion 5% 200g,3.00,3.00,0,0,0.0,0.0,OK,
10192,Master Knives,2.00,2.00,15.5,15.5,0.0,0.0,OK,
10193,Spirit 750mls,5.00,5.00,15.5,15.5,0.0,4.0,OK,
10194,Mhunga 40kg,18.00,18.00,0,0,0.0,190.0,OK,
10195,Pig milk replacer 3kg,17.00,17.00,0,0,0.0,0.0,OK,
10196,Calf Milk Replacer 3kg,17.00,17.00,0,0,0.0,8.0,OK,
10197,Molasses 10litres,9.00,9.00,0,0,0.0,15.0,OK,
10198,Molasses 5litres,5.00,5.00,0,0,0.0,24.0,OK,
10199,Intrafer 200 100mls,12.00,12.00,0,0,0.0,16.0,OK,
10200,Ivermectin 100mls,12.00,12.00,0,0,0.0,0.0,OK,
10201,Molasses 25litres,16.00,16.00,0,0,0.0,33.0,OK,
10202,Mouse lure trap Book,1.00,1.00,15.5,15.5,0.0,1.0,OK,
10203,Mutsvairo 1litre,15.00,15.00,0,0,0.0,0.0,OK,
10204,Nemovit 100g,8.00,8.00,0,0,0.0,42.0,OK,
10205,Nilzash Tablets,1.00,1.00,0,0,0.0,125.0,OK,
10206,Pig Nipple drinkers,2.50,2.50,15.5,15.5,0.0,0.0,OK,
10207,Nose Tong,20.00,20.00,15.5,15.5,0.0,6.0,OK,
10208,Nutravit 100g,5.00,5.00,0,0,0.0,0.0,OK,
10209,O Hinged Feeders Large,3.50,3.50,15.5,15.5,0.0,100.0,OK,
10210,O hinged Feeders Small,3.00,3.00,15.5,15.5,0.0,0.0,OK,
10211,OTC spray,12.00,12.00,0,0,0.0,0.0,OK,
10212,Oxytocin -20 100mls,8.00,8.00,0,0,0.0,0.0,OK,
10213,Oxytocin -10 50mls,6.50,6.50,0,0,0.0,0.0,OK,
10214,Padlocks,5.00,5.00,15.5,15.5,0.0,0.0,OK,
10215,Paragon 200mls,5.00,5.00,0,0,0.0,0.0,OK,
10216,Penstrep LA 100mls,12.00,12.00,0,0,0.0,3.0,OK,
10217,Phenylject 100mls,10.00,10.00,0,0,0.0,0.0,OK,
10218,Phillips infrared light,15.00,15.00,15.5,15.5,0.0,0.0,OK,
10219,Pig Boost 2kg,10.00,10.00,0,0,0.0,135.0,OK,
10220,Pig Creep 50kg Meal,32.00,32.00,0,0,0.0,8.0,OK,
10221,Pig Dry Sow & Boar meal 50kg,27.00,27.00,0,0,0.0,0.0,OK,
10222,Pig Finisher maxi 24 kg,41.00,41.00,0,0,0.0,10.0,OK,
